epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,121.298,3.94369,25.3531,2.0903,0,0,0,0,4.46518,27.7055,2.02814,0.000361721,0.000361721,0.000361721
2,237.998,3.75495,13.8554,1.66934,0,0,0,0,4.02061,77.2268,1.66787,0.00071756,0.00071756,0.00071756
3,354.246,3.89859,14.5995,1.72487,0.00022,0.005,0.00014,2e-05,4.48888,45.2698,2.16747,0.00105873,0.00105873,0.00105873
4,470.146,3.90491,12.918,1.6625,0.0013,0.0075,0.00037,0.0001,3.9961,55.9989,1.65616,0.00104501,0.00104501,0.00104501
5,586.129,3.97172,14.0836,1.63721,0.25817,0.0125,0.0021,0.00046,3.94816,14.057,1.69197,0.00102301,0.00102301,0.00102301
6,701.781,3.77319,11.0529,1.56838,0.00139,0.06693,0.00169,0.00038,3.93717,13.9649,1.68151,0.00100101,0.00100101,0.00100101
7,818.799,3.76308,10.6008,1.59009,0.0009,0.0325,0.00051,8e-05,4.06257,14.7646,1.64032,0.000979013,0.000979013,0.000979013
8,933.619,3.80068,11.3326,1.54059,0.00124,0.07148,0.00138,0.00032,4.06745,14.0053,1.63219,0.000957015,0.000957015,0.000957015
9,1051.45,3.68149,10.4348,1.46588,0.00188,0.14716,0.00391,0.00133,3.86583,12.7734,1.60207,0.000935018,0.000935018,0.000935018
10,1168.54,3.72219,8.53642,1.57571,0.00198,0.09705,0.0016,0.00029,4.13881,13.0603,1.52858,0.00091302,0.00091302,0.00091302
11,1282.65,3.81331,8.66168,1.54165,0.28035,0.01568,0.00942,0.00462,3.92126,18.5113,1.55157,0.000891022,0.000891022,0.000891022
12,1397.11,3.57076,7.31233,1.44868,0.25837,0.06523,0.00529,0.00159,3.79751,9.92867,1.42997,0.000869024,0.000869024,0.000869024
13,1511.87,3.65373,7.62859,1.47465,0.80898,0.0075,0.00629,0.00184,3.94017,9.9397,1.44902,0.000847026,0.000847026,0.000847026
14,1627.67,3.50268,7.44198,1.49938,0.00272,0.11102,0.00769,0.00293,3.80921,9.23734,1.58251,0.000825029,0.000825029,0.000825029
15,1743.89,3.5179,7.06118,1.55779,0.00332,0.12273,0.00419,0.00094,3.72078,8.82703,1.56133,0.000803031,0.000803031,0.000803031
16,1858.17,3.48636,6.54471,1.45955,0.58573,0.02136,0.01011,0.00183,3.85933,8.16656,1.53888,0.000781033,0.000781033,0.000781033
17,1972.56,3.4858,5.74137,1.47601,0.32572,0.0125,0.01155,0.00298,3.70988,8.02715,1.6322,0.000759035,0.000759035,0.000759035
18,2087.44,3.30664,6.1163,1.43601,0.32097,0.015,0.01617,0.00366,3.83683,7.55304,1.61237,0.000737037,0.000737037,0.000737037
19,2201.88,3.42111,5.57441,1.45191,0.48349,0.02745,0.02449,0.00542,3.6771,6.78285,1.60792,0.00071504,0.00071504,0.00071504
20,2316.38,3.31292,5.49808,1.39489,0.35852,0.02386,0.03946,0.01197,3.57977,6.76207,1.53278,0.000693042,0.000693042,0.000693042
21,2430.02,3.30057,5.27059,1.47408,0.17318,0.0658,0.05011,0.01502,3.49415,6.90276,1.54175,0.000671044,0.000671044,0.000671044
22,2543.61,3.21285,4.9447,1.39618,0.09578,0.05011,0.05602,0.01708,3.45651,6.23862,1.56621,0.000649046,0.000649046,0.000649046
23,2656.26,3.21364,4.90475,1.43157,0.12725,0.0608,0.04396,0.01572,3.4643,6.20259,1.5249,0.000627048,0.000627048,0.000627048
24,2769.59,3.15101,4.67281,1.37986,0.14256,0.11261,0.04736,0.01315,3.41047,6.26897,1.52859,0.000605051,0.000605051,0.000605051
25,2882.5,3.21774,4.95556,1.37215,0.25688,0.06022,0.06585,0.02945,3.41107,5.86924,1.57391,0.000583053,0.000583053,0.000583053
26,2995.59,3.31754,4.91255,1.39641,0.23624,0.04961,0.0571,0.0231,3.43056,5.64243,1.54156,0.000561055,0.000561055,0.000561055
27,3107.87,3.18728,4.63588,1.44869,0.14351,0.07398,0.06137,0.0245,3.33471,5.60568,1.5349,0.000539057,0.000539057,0.000539057
28,3220.93,3.15151,4.29829,1.41457,0.18143,0.09847,0.0589,0.01798,3.29621,5.54122,1.5343,0.000517059,0.000517059,0.000517059
29,3334.19,3.12434,4.34776,1.41382,0.51194,0.07386,0.097,0.02935,3.2476,5.42139,1.53606,0.000495062,0.000495062,0.000495062
30,3448.22,3.08139,4.02737,1.32433,0.18468,0.11273,0.08518,0.0319,3.27809,4.98769,1.53479,0.000473064,0.000473064,0.000473064
31,3561.99,2.98986,4.1882,1.35076,0.21955,0.0733,0.07596,0.02749,3.19814,5.02439,1.51653,0.000451066,0.000451066,0.000451066
32,3674.82,3.0461,4.12992,1.37071,0.21765,0.08581,0.09275,0.02659,3.21451,4.92952,1.55113,0.000429068,0.000429068,0.000429068
33,3787.12,3.03726,4.1057,1.38436,0.5391,0.08886,0.09943,0.03466,3.31847,4.86848,1.57442,0.00040707,0.00040707,0.00040707
34,3900.54,2.95002,3.92957,1.31141,0.46482,0.13973,0.11507,0.03846,3.24354,4.76933,1.59227,0.000385073,0.000385073,0.000385073
35,4013.59,2.8956,3.93402,1.28194,0.66373,0.0843,0.10326,0.03972,3.26028,5.07146,1.51433,0.000363075,0.000363075,0.000363075
36,4126.91,2.89869,3.93167,1.30354,0.55669,0.09349,0.09105,0.03947,3.2698,4.90217,1.50434,0.000341077,0.000341077,0.000341077
37,4239.82,2.88114,3.76265,1.30572,0.53093,0.11213,0.10511,0.04022,3.21965,4.75085,1.49782,0.000319079,0.000319079,0.000319079
38,4354.25,2.88303,3.60678,1.38166,0.52256,0.10773,0.10287,0.03018,3.18614,4.43924,1.55308,0.000297081,0.000297081,0.000297081
39,4467.97,2.72364,3.43307,1.31772,0.44453,0.09216,0.10933,0.03207,3.14864,4.3912,1.53491,0.000275084,0.000275084,0.000275084
40,4581.7,2.76177,3.40769,1.27847,0.52293,0.12796,0.12089,0.03765,3.14552,4.4727,1.50526,0.000253086,0.000253086,0.000253086
41,4694.56,2.75086,3.47263,1.3838,0.50009,0.1383,0.11874,0.03807,3.18312,4.31578,1.57533,0.000231088,0.000231088,0.000231088
42,4807.52,2.73022,3.48511,1.3402,0.53316,0.12511,0.11777,0.0395,3.24466,4.43893,1.61107,0.00020909,0.00020909,0.00020909
43,4921.88,2.73237,3.37262,1.35333,0.52795,0.13499,0.11717,0.03687,3.3053,4.6274,1.58658,0.000187092,0.000187092,0.000187092
44,5035.69,2.6613,3.15555,1.32701,0.63924,0.11091,0.12411,0.03974,3.21586,4.55586,1.55215,0.000165095,0.000165095,0.000165095
45,5150,2.60588,3.14721,1.30869,0.60137,0.1283,0.13616,0.04249,3.18183,4.36838,1.55817,0.000143097,0.000143097,0.000143097
46,5262.67,2.54276,3.2784,1.27844,0.64725,0.14106,0.14559,0.04452,3.19662,4.23976,1.53663,0.000121099,0.000121099,0.000121099
47,5374.93,2.67226,3.04117,1.32357,0.7594,0.13238,0.13873,0.03963,3.19872,4.19031,1.55013,9.91012e-05,9.91012e-05,9.91012e-05
