epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1300.52,3.16432,5.11299,1.64249,0.61413,0.02088,0.01265,0.00394,3.10392,9.02904,1.45686,0.000415,0.000415,0.000415
2,2861.96,2.89629,3.21304,1.45846,0.10685,0.02042,0.01332,0.00487,2.92876,3.72834,1.40699,0.0008152,0.0008152,0.0008152
3,4498.53,2.75858,2.61082,1.42402,0.39499,0.01933,0.01502,0.00556,2.86206,3.06135,1.37395,0.0011989,0.0011989,0.0011989
4,6227.54,2.71114,2.42344,1.38109,0.35747,0.0225,0.01375,0.00478,2.81431,3.20539,1.36262,0.00117575,0.00117575,0.00117575
5,7874.6,2.65809,2.26933,1.3733,0.21657,0.01907,0.01908,0.00664,2.79176,3.39924,1.34934,0.001151,0.001151,0.001151
6,9768.8,2.6067,2.15361,1.33356,0.3389,0.02279,0.02605,0.00824,2.62431,2.94822,1.32373,0.00112625,0.00112625,0.00112625
7,11443.8,2.56543,2.09664,1.30878,0.39542,0.0261,0.01984,0.00725,2.64787,2.52091,1.29616,0.0011015,0.0011015,0.0011015
8,13254.3,2.52006,2.04124,1.28801,0.41308,0.02307,0.01774,0.00577,2.63188,2.61985,1.27153,0.00107675,0.00107675,0.00107675
9,14964.7,2.49228,1.98704,1.27531,0.17085,0.02743,0.02366,0.00849,2.59691,2.21144,1.27843,0.001052,0.001052,0.001052
10,16602.1,2.474,1.93858,1.26123,0.2147,0.0345,0.02369,0.00795,2.61001,2.55237,1.26658,0.00102725,0.00102725,0.00102725
11,18816.9,2.41768,1.88013,1.24967,0.20407,0.03816,0.02789,0.00958,2.53702,2.18904,1.24618,0.0010025,0.0010025,0.0010025
12,21201.2,2.39221,1.87608,1.243,0.27961,0.05695,0.0393,0.01465,2.51475,2.44227,1.22898,0.00097775,0.00097775,0.00097775
13,24014.8,2.38138,1.86179,1.23239,0.22245,0.05356,0.04051,0.01532,2.49213,2.14572,1.22848,0.000953,0.000953,0.000953
14,27545.5,2.37347,1.8465,1.22715,0.25669,0.05728,0.0404,0.01385,2.50581,2.23153,1.22801,0.00092825,0.00092825,0.00092825
15,31600.2,2.34839,1.84215,1.21497,0.23048,0.05331,0.04269,0.01496,2.52914,2.11622,1.21964,0.0009035,0.0009035,0.0009035
